name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
Build an e-learning platform using WIX with no coding,Create a website without any line of code,Mokhtari Amine,5.0,6,3.5 total hours,22,Beginner,149000,-
Build Ecommerce Website like Amazon - No Coding Required,"Creating Multi Vendor Ecommerce Website like Amazon, Ebay and Alibaba Without using any coding language",urban libraries,5.0,2,2.5 total hours,13,All Levels,149000,-
Create Personal Brand Niche Website without coding,Using FREE Resources - Make Professional Personal Brand Website With Wordpress & Elementor,Being Commerce,5.0,3,1 total hour,10,All Levels,149000,-
Pega Senior Certification Exam Questions 2021,Pega Senior Certification Practice Test 2021for version 8.1 - 8.5,Pega Technology,5.0,2,-,-,Intermediate,149000,-
How to Create Your Free Professional Website (No Coding)!,Create a free website on a budget with no coding necessary,My Meaningful Health,5.0,11,1 total hour,5,Beginner,149000,Highest rated
App Development MADE EASY : A Glide Apps Course in Glideapps,Low code glide app development for beginners,Akanbi Adedamola,5.0,1,1.5 total hours,5,Beginner,149000,-
Wordpress for Beginners - Make 6 Different Websites Easily,How to manage and setup your website easily,Kalyanjit Hatibaruah,5.0,3,5 total hours,35,Beginner,149000,-
Build a Mobile App Without Code,Creating a Mobile App From a Spreadsheet,Clyde D'Souza,5.0,2,1.5 total hours,26,All Levels,149000,-
Advanced Templates & Document Generation,An Advanced Guide to Generating Dynamic Documents in AppSheet,"Benjamin Anderson, Stefan Quartemont",5.0,1,3 total hours,15,Intermediate,629000,-
"Beginners Guide to WordPress, Elementor & WooCommerce","Learn everything about WordPress, Elementor & WooCommerce inside this simple & easy to understand course.",Being Commerce,5.0,2,4 total hours,34,Beginner,149000,New
"High Converting Landing Page With WordPress, CRM & Marketing",All in one course - learn the entire process to generate high quality leads,Yishay Yosef,5.0,1,2 total hours,23,Beginner,149000,New
How To Work From Home Online,How to Start Your Own Work from Home Business Around What You Love and Turn it into a Full Time Income,Okikiola Emmanuel Omokanye,5.0,2,1.5 total hours,6,All Levels,149000,-
Build FREE Ecommerce Website with WordPress & WooCommerce,"Build professional Ecommerce Website For FREE using Wordpress, WooCommerce & Elementor in 2 hours",Being Commerce,5.0,1,2 total hours,32,All Levels,149000,New
Build Airtask: A To Do List Application Built With Bubble,"Using Bubble visual programming we'll be building Airtask, a beautiful & user friendly to-do list application.","Gregory John, Buildcamp Inc",5.0,100,4 total hours,24,Beginner,149000,-
ServiceNow Certified System Admin (CSA) Quebec Delta Tests,"Prepare for ServiceNow System Administrator (CSA) Delta exam with detailed answer explanations, screenshots & hyperlinks",Ali Saghaeian,5.0,213,-,-,All Levels,149000,Bestseller
Build a WordPress Blog in No Time!,Build and Host an Awesome Blog For Your Business like H-educate's Blog! In the Easiest Way You Will Ever See!,Hasan Aboul Hasan,4.9,5,2 total hours,30,Beginner,279000,-
Create an App in a Snap without a single line of coding.,Create Apps of your choice from scratch in minutes without coding,Sridhar Iyer,4.9,3,2 total hours,12,All Levels,149000,-
Create Awesome Fantasy Website Using Wordpress Elementor,"Learn Creating Awesome Fantasy Website with Animated SVG, Animated Blobs & many more premium features for FREE",Supriyo Kundu,4.9,93,7.5 total hours,41,All Levels,149000,-
How to make a Portfolio Wordpress Website in Elementor 2020,Learn how to create a designers portfolio website with Elementor from an Adobe Xd design,Rino - LivingWithPixels,4.9,190,4.5 total hours,30,Beginner,149000,Highest rated
Create Personal Branding & Blogging Website without coding,Using FREE Resources - Make Professional Personal Branding & Blogging Website Using Wordpress & Elementor,Being Commerce,4.9,3,2 total hours,23,All Levels,149000,-
