name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
Flask Landing - Learn the Python Microframework,Learn Flask Step by Step through Building a Live a Landing Page with Flask and Python 3.6,Justin Mitchel,5.0,11,4 total hours,55,Beginner,149000,Highest rated
"CSS3 Animations, Transforms and Transitions Ultimate Guide","Enhance User Experience, Interactive Pages, 3D Animations, Real-Life Projects and Best Practices with CSS3 Animations",Alperen Talaslıoğlu,5.0,5,7.5 total hours,93,All Levels,149000,Hot & new
JavaScript 5 Projects JS Dynamic interactive DOM elements,Perfect to practice and learn more about JavaScript and DOM interactions create useful components and more,Laurence Svekis,5.0,1,7.5 total hours,72,All Levels,149000,-
"HTML, CSS and JavaScript - Complete Guide For Beginners","This is a complete guide for web development beginners interested in learning HTML, CSS, & JavaScript ( JS ).",Oak Academy,5.0,3,12 total hours,99,All Levels,149000,-
JavaScript with Real World App Project,"Start JS from scratch, learn JavaScript libraries such as React, Angular, Node with hands-on projects with JavaScript!","Oak Academy, Muhammet Gokturk",5.0,16,9 total hours,70,All Levels,149000,Highest rated
Build a WordPress plugin instead of using theme's functions,Learn to build your own custom plugins and how you can add codes to it avoid using functions.php,Saujan Man Pradhan,5.0,1,37 total mins,9,Intermediate,149000,-
Build an Online Paint Website,Learn Web Development Essentials and Become a Web Developer From Scratch,"Mammoth Interactive, John Bura",5.0,1,11.5 total hours,133,All Levels,149000,-
CSS Flexbox Challenge: Build a Responsive Website in 1 Hour.,CSS Flexbox is great for building responsive websites. A screencast that will help you to create website faster.,Coder Champ,5.0,1,1 total hour,15,All Levels,149000,-
Learn Javascript The Right Way,Get In depth Understanding of JavaScript,Bhanu prathap,5.0,1,35 total mins,5,Beginner,149000,-
How to Make an eCommerce Website in WordPress in 2021,"Make an eCommerce Store using WordPress, WooCommerce, Elementor and WoodMart Theme",Md Zaman,5.0,2,3 total hours,24,Beginner,149000,New
Implement Most In-demand JavaScript Projects for Interviews,Build Real-world and Essential Projects Every Recruiters Look for!,Avinash Verma,5.0,2,1.5 total hours,5,All Levels,149000,New
Create a Wix Website and Blog From Scratch,Create a website and blog with Wix using a blank template.,David Utke,5.0,1,1.5 total hours,16,Beginner,149000,-
Modern JavaScript Bootcamp - Beginner To Advanced,Learn Modern JavaScript from the beginning to Advanced concepts. Build several real world JavaScript projects/apps.,Ewomazino Akpareva,5.0,3,19 total hours,110,All Levels,149000,New
Vue.JS Crash Course + Guide,"Modern Front End Web Development Framework Vue JS complete course-Components, Single Page Applications, Forms & more ...",Mayank Chaudhari,5.0,8,12.5 total hours,68,Intermediate,149000,-
WooCommerce Tutorial - Make a Professional Online Store,Learn how to create an online store with WordPress and WooCommerce,David Utke,5.0,1,2.5 total hours,21,Intermediate,149000,New
Data Driven Framework - Designing and Implementation,A Step-By-Step process to build your own Data Driven Framework in Selenium using Excel Sheets,Hemant M Rathod,5.0,1,3 total hours,6,Intermediate,149000,New
HTML5 for Beginners (2018) Starting place for Web Developers,"With tech rising up into so many industries and careers, now has never been a better time to be a bit more technical!",Jonathan Fernandez,5.0,1,2 total hours,16,Beginner,149000,-
MERN Stack Bootcamp - Zero to Hero in One Course,Master JavaScript React Node MongoDB NextJs SocketIo and Become a Professional MERN Stack Developer from Scratch,Ryan Dhungel,5.0,3,24.5 total hours,174,All Levels,149000,New
Learn how to Integrate Add-on to your CodeIgniter Projects,This is the only course on this platform where you will learn how add-on,Olawuyi Segun Orisunola,5.0,4,4.5 total hours,35,All Levels,149000,-
Build Movie Search Engine Using ReactJS,Learn React the easy way by building a Movies Search Engine,Mustafa Alawi,5.0,1,2.5 total hours,28,Beginner,699000,-
The Complete HTML & CSS Practice Test With Explanations 2020,HTML & CSS Practice Test | Helpful for interviews and exam preparation | All topics of HTML & CSS covered + explanations,Luke's Programming School,5.0,1,-,-,All Levels,149000,-
Angular and Deno: A Practical Guide,"Deno APIs, Angular 10, Typescript, MySQL, OOP, Upload Images, Export CSV",Antonio Papa,5.0,5,8 total hours,76,All Levels,149000,-
Advanced WordPress SetUp - Update step by step,Set Up for Beginners-How to Create Easy WordPress Shop Site,Milos Djordjevic,5.0,2,1 total hour,20,All Levels,149000,-
Django - Full Stack Web Development,Learn to build Python based web applications with Django 3,"Rinkesh S, SplusSecurity b",5.0,1,5 total hours,40,All Levels,149000,-
2HRS-Step-BY-Step: Use Wordpress Gutenberg Editor Like A Pro,"""Finally, Learn How To Use the WordPress Gutenberg Editor...Starting Today""& Learn how to Use React in Gutenberg Editor",Taarush Kane,5.0,1,2.5 total hours,12,All Levels,149000,-
"Master HTML, CSS and Vanilla JS By Building 5 Projects",Become advanced frontend web developer,Michalis Michailidis,5.0,1,11 total hours,73,All Levels,149000,New
React and Node.js Project: Build a Torrent Search Engine,"Build your own Torrent Search Engine with React, Express, MongoDB and Node.js",Kaustubh Sathe,5.0,3,2 total hours,11,Beginner,149000,New
How to Make an Affiliate Marketing Website,Get started with Affiliate Marketing and the Kadence Theme!,David Utke,5.0,1,2 total hours,15,All Levels,149000,New
Exploring JavaScript - Objects & THIS,Objects in JavaScript is the most important feature & a strong understanding will help you create useful code patterns,Meher R Howji,5.0,1,1.5 total hours,13,All Levels,149000,-
Create freelance marketplace website like fiverr in hindi ?,Learn the step-by-step process of building your own freelance marketplace like Fiverr without touching a single line of,Sahid Khan,5.0,2,2.5 total hours,16,All Levels,149000,-
JavaScript Projects DOM Interactive Dynamic web pages,Make your webpages come to life with JavaScript and DOM interaction Loaded with Useful Projects in JavaScript,Laurence Svekis,5.0,1,12 total hours,62,All Levels,149000,New
Restful Routing with Practical Examples,"Understand Restful Routing concept, Work on Real practical examples and Discover online REST APIs",Ahmed Magdy,5.0,4,1 total hour,10,Intermediate,149000,-
The Complete jQuery Course: From Beginner To Advanced!,jQuery for beginners jQuery Exercises Included with Source Code. Create Dynamic Interactive web content jQuery Coding,The Content Boss,5.0,1,1.5 total hours,20,All Levels,149000,-
Complete Bootstrap 5 for Beginners with real world Projects,Master Bootstrap and build real world websites using Bootstrap 5 components with HTML5 semantics elements + CSS3 & SASS,Norbert B. Menyhart,5.0,3,16 total hours,109,All Levels,149000,Hot & new
"Advanced Html,Css,Jade(pug),Materializecss Course",learn a better workflow for web development using my workflow,Yoel fisher,5.0,1,3.5 total hours,34,Intermediate,149000,-
"Deno - The Practical Guide (MVC, SQL, NoSQL, REST API)",Build modern web applications with Deno.js. Get a solid understanding from the ground up.,Donald Latumahina,5.0,4,8.5 total hours,77,All Levels,149000,-
How to publish an ASP.NET CORE 3 SPA web site with FREE SSL,Upload you application using a free SSL certificate in only 10 steps,Jose Freire,5.0,3,1 total hour,11,Intermediate,149000,-
How to create Blogger Blogs with blogger Advanced,Advanced Blogger Blog Information. Take your Blogger Blog to the next level.,Thomas Grant,5.0,2,4.5 total hours,52,Intermediate,149000,-
JavaScript Data Structure and Algorithm Crash Course,Understanding JavaScript Data Structure and Sorting Algorithms,OnlyKiosk Tech,5.0,3,2 total hours,33,Intermediate,149000,-
Top and Best Laravel Admin Panel With Projects,"In this Course, I will demonstrate important Laravel Admin Panel that you must know and regularly use in Laravel app",MillionCourses Learning Solutions,5.0,1,1 total hour,17,All Levels,149000,-
"Build fullstack app with Node.Js, Loopback4, React and Hooks","Modern ways to build full-stack web applications with Node.js, Loopback 4, Typescript, React, Mysql, React Hooks",Haider Malik,5.0,1,8.5 total hours,88,All Levels,149000,-
